timestamp_utc,imb_eur_per_mwh,bal_up_eur_per_mwh,bal_down_eur_per_mwh
2022-01-01 00:00:00+00:00,41.33,41.33,41.33
2022-01-01 01:00:00+00:00,43.22,43.22,43.22
2022-01-01 02:00:00+00:00,45.46,45.46,45.46
2022-01-01 03:00:00+00:00,37.67,37.67,37.67
2022-01-01 04:00:00+00:00,39.7,39.7,39.7
2022-01-01 05:00:00+00:00,40.59,40.59,40.59
2022-01-01 06:00:00+00:00,43.26,43.26,43.26
2022-01-01 07:00:00+00:00,43.14,49.66,43.14
2022-01-01 08:00:00+00:00,43.13,70.05,43.13
2022-01-01 09:00:00+00:00,76.79,76.79,76.79
2022-01-01 10:00:00+00:00,84.1,84.1,84.1
2022-01-01 11:00:00+00:00,65.0,94.74,65.0
2022-01-01 12:00:00+00:00,50.21,96.8,50.21
2022-01-01 13:00:00+00:00,56.0,97.17,56.0
2022-01-01 14:00:00+00:00,101.27,101.27,101.27
2022-01-01 15:00:00+00:00,102.0,126.6,102.0
2022-01-01 16:00:00+00:00,102.0,149.97,102.0
2022-01-01 17:00:00+00:00,102.0,146.33,102.0
2022-01-01 18:00:00+00:00,80.0,140.28,80.0
2022-01-01 19:00:00+00:00,80.0,121.88,80.0
2022-01-01 20:00:00+00:00,42.95,102.61,42.95
2022-01-01 21:00:00+00:00,42.48,95.12,42.48
2022-01-01 22:00:00+00:00,28.0,83.11,28.0
2022-01-01 23:00:00+00:00,27.0,57.08,27.0
2022-01-02 00:00:00+00:00,52.59,52.59,52.59
2022-01-02 01:00:00+00:00,48.97,48.97,48.97
2022-01-02 02:00:00+00:00,34.94,34.94,34.94
2022-01-02 03:00:00+00:00,29.56,29.56,29.56
2022-01-02 04:00:00+00:00,27.0,33.97,27.0
2022-01-02 05:00:00+00:00,27.0,34.52,27.0
2022-01-02 06:00:00+00:00,27.0,41.8,27.0
2022-01-02 07:00:00+00:00,32.11,48.95,32.11
2022-01-02 08:00:00+00:00,33.0,60.01,33.0
2022-01-02 09:00:00+00:00,33.0,70.09,33.0
2022-01-02 10:00:00+00:00,66.26,66.26,66.26
2022-01-02 11:00:00+00:00,64.54,64.54,64.54
2022-01-02 12:00:00+00:00,80.0,80.0,46.96
2022-01-02 13:00:00+00:00,90.0,90.0,49.06
2022-01-02 14:00:00+00:00,110.0,110.0,74.99
2022-01-02 15:00:00+00:00,88.15,88.15,88.15
2022-01-02 16:00:00+00:00,144.5,144.5,95.4
2022-01-02 17:00:00+00:00,87.84,87.84,87.84
2022-01-02 18:00:00+00:00,71.27,71.27,71.27
2022-01-02 19:00:00+00:00,30.0,54.12,30.0
2022-01-02 20:00:00+00:00,27.0,46.16,27.0
2022-01-02 21:00:00+00:00,27.0,46.29,27.0
